epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74774,1.34143,3.10287,3.72871,1.32094,0.00588,0.27774,0.04079,0.02402,0.00569,0.27782,0.03744,0.02197,1.18905,2.80144,3.72631,1.28582,4.444e-05,4.444e-05,4.444e-05
2,10.4031,1.22733,2.84584,3.6804,1.24841,0.00978,0.36361,0.19316,0.15942,0.00905,0.34762,0.19156,0.15252,0.82607,2.33931,3.62121,1.03453,9.80102e-05,9.80102e-05,9.80102e-05
3,12.8849,1.00758,2.19846,3.25353,1.13116,0.01628,0.45503,0.31163,0.25508,0.0168,0.48231,0.30539,0.25397,0.7925,2.05907,3.48426,0.95124,0.000149381,0.000149381,0.000149381
4,15.3487,1.00433,1.80515,2.7194,1.08899,0.02089,0.47816,0.3239,0.26764,0.02175,0.52002,0.32074,0.27064,0.7657,1.93023,3.30463,0.91864,0.000198551,0.000198551,0.000198551
5,18.0951,0.96146,1.61756,2.33571,1.05846,0.92402,0.27626,0.31713,0.26494,0.92402,0.27626,0.31062,0.26185,0.82439,1.78222,3.02212,0.95322,0.000245522,0.000245522,0.000245522
6,20.8724,0.92255,1.52151,1.9592,1.04791,0.90431,0.28989,0.34343,0.2842,0.90431,0.28989,0.33805,0.27282,0.83601,1.84395,2.77953,0.94693,0.000290293,0.000290293,0.000290293
7,24.5867,0.91072,1.43276,1.67539,1.04546,0.90248,0.2644,0.40781,0.31977,0.90248,0.2644,0.40493,0.32816,0.87727,1.63615,2.669,0.97565,0.000332864,0.000332864,0.000332864
8,27.5103,0.87257,1.30406,1.50872,1.01458,0.93001,0.32595,0.41743,0.34719,0.93259,0.32469,0.41577,0.3431,0.85049,1.60508,2.63142,0.95195,0.000373236,0.000373236,0.000373236
9,30.0049,0.83788,1.26526,1.35761,0.99056,0.9854,0.33956,0.4224,0.36009,0.9854,0.33956,0.42017,0.36222,0.88629,1.58464,2.59638,0.9464,0.000411408,0.000411408,0.000411408
10,32.4641,0.84052,1.34601,1.27831,1.00621,0.97415,0.34356,0.4293,0.36605,0.97086,0.34144,0.42458,0.36457,0.86213,1.53449,2.33999,0.92771,0.00044738,0.00044738,0.00044738
11,35.4835,0.79546,1.17856,1.16446,0.98044,0.95428,0.36474,0.45828,0.39689,0.93191,0.36312,0.44047,0.37167,0.79114,1.45827,2.14217,0.91032,0.000481152,0.000481152,0.000481152
