epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94488,1.30343,3.0273,3.74677,1.30426,0.00775,0.33062,0.08086,0.05773,0.00718,0.31173,0.08018,0.05467,0.97578,2.23815,3.68073,1.1492,7.777e-05,7.777e-05,7.777e-05
2,14.3431,1.03867,2.03922,3.27835,1.13884,0.01964,0.46897,0.30024,0.24269,0.01859,0.44406,0.29051,0.25332,0.83047,1.60106,3.43025,0.97439,0.000165,0.000165,0.000165
3,18.3457,0.97226,1.54051,2.39296,1.0806,0.02639,0.49548,0.32178,0.27337,0.02627,0.50187,0.31408,0.26231,0.80191,1.56898,3.13881,0.94904,0.000250471,0.000250471,0.000250471
4,23.8633,0.93034,1.38959,1.87933,1.05863,0.9599,0.21306,0.40525,0.33352,0.9599,0.21306,0.39127,0.30397,0.83833,1.36342,2.82387,0.94248,0.000334181,0.000334181,0.000334181
5,28.0931,0.88317,1.21165,1.50493,1.0189,0.92114,0.3365,0.44658,0.39109,0.91553,0.33004,0.43591,0.35728,0.80374,1.18739,2.57868,0.93499,0.000416132,0.000416132,0.000416132
6,32.4888,0.81196,1.10881,1.25753,0.99533,0.93197,0.38815,0.46325,0.39677,0.91904,0.3841,0.4594,0.37181,0.82003,1.14441,2.11543,0.94783,0.000496323,0.000496323,0.000496323
7,37.4838,0.80027,1.06255,1.12805,0.98161,0.91349,0.36269,0.45884,0.37495,0.92316,0.3635,0.46295,0.37049,0.8361,1.16459,2.21538,0.95878,0.000574754,0.000574754,0.000574754
8,42.3802,0.78019,1.01991,1.0438,0.97918,0.95575,0.3664,0.46343,0.39197,0.96003,0.36786,0.46277,0.37774,0.80763,1.07574,1.93806,0.97792,0.000651425,0.000651425,0.000651425
9,46.6181,0.78345,1.06095,0.99759,0.98109,0.91708,0.38834,0.52178,0.4388,0.93032,0.38926,0.52556,0.40494,0.79668,1.06981,1.88947,0.95678,0.000726336,0.000726336,0.000726336
10,51.9829,0.72013,0.92231,0.89495,0.95672,0.91777,0.39695,0.62177,0.49967,0.92059,0.39841,0.60258,0.46118,0.79594,1.06977,1.79174,0.94182,0.000799488,0.000799488,0.000799488
11,56.4191,0.71521,0.93695,0.88782,0.94724,0.90023,0.47955,0.72856,0.59177,0.89849,0.47679,0.7089,0.56177,0.76367,0.99205,1.59784,0.93375,0.00087088,0.00087088,0.00087088
12,60.3864,0.73351,0.93428,0.87255,0.95947,0.88082,0.53499,0.76034,0.60269,0.78852,0.49981,0.6998,0.55219,0.78821,0.99071,1.54908,0.96765,0.000940511,0.000940511,0.000940511
13,65.599,0.70687,0.90597,0.8383,0.94099,0.79696,0.64286,0.7965,0.62703,0.77793,0.6326,0.7803,0.57113,0.78417,0.89616,1.37319,0.96751,0.000979013,0.000979013,0.000979013
14,70.2588,0.7004,0.86963,0.81805,0.94748,0.84339,0.70813,0.79179,0.64983,0.84429,0.71029,0.79615,0.63356,0.71537,0.87413,1.24757,0.93749,0.000968014,0.000968014,0.000968014
15,74.2202,0.68413,0.86627,0.79024,0.93267,0.8809,0.7146,0.81543,0.61719,0.87585,0.70983,0.80918,0.6017,0.75232,0.79477,1.16048,0.94964,0.000957015,0.000957015,0.000957015
16,79.9222,0.70724,0.90046,0.79644,0.94136,0.89527,0.70757,0.81893,0.64205,0.86961,0.65965,0.77742,0.61365,0.73921,0.8513,1.06917,0.94212,0.000946016,0.000946016,0.000946016
17,84.3361,0.65289,0.8249,0.75044,0.93617,0.89624,0.72498,0.82694,0.67465,0.8795,0.71106,0.81549,0.64107,0.68954,0.87079,0.96604,0.91152,0.000935018,0.000935018,0.000935018
